tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-12-01,63,100,43,13,41,30,100,PM25,SEDANG,DKI4
2021-12-02,35,56,42,7,40,14,56,PM25,SEDANG,DKI4
2021-12-03,54,71,43,9,48,17,71,PM25,SEDANG,DKI4
2021-12-04,50,65,45,13,43,16,65,PM25,SEDANG,DKI3
2021-12-05,53,80,44,17,39,29,80,PM25,SEDANG,DKI4
2021-12-06,62,91,55,23,45,57,91,PM25,SEDANG,DKI3
2021-12-07,179,58,44,12,43,21,179,PM10,TIDAK SEHAT,DKI4
2021-12-08,49,76,45,17,51,30,76,PM25,SEDANG,DKI4
2021-12-09,46,63,46,11,51,20,63,PM25,SEDANG,DKI4
2021-12-10,51,73,47,14,41,30,73,PM25,SEDANG,DKI4
2021-12-11,38,60,45,8,51,22,60,PM25,SEDANG,DKI4
2021-12-12,49,63,43,17,42,34,63,PM25,SEDANG,DKI3
2021-12-13,53,68,44,11,34,23,68,PM25,SEDANG,DKI3
2021-12-14,51,76,46,15,37,26,76,PM25,SEDANG,DKI4
2021-12-15,69,124,44,19,50,30,124,PM25,TIDAK SEHAT,DKI4
2021-12-16,78,136,43,20,34,36,136,PM25,TIDAK SEHAT,DKI4
2021-12-17,58,81,43,18,57,35,81,PM25,SEDANG,DKI4
2021-12-18,51,69,42,18,54,32,69,PM25,SEDANG,DKI4
2021-12-19,65,102,41,24,78,45,102,PM25,TIDAK SEHAT,DKI4
2021-12-20,57,86,42,13,58,20,86,PM25,SEDANG,DKI4
2021-12-21,62,74,42,19,39,49,74,PM25,SEDANG,DKI1
2021-12-22,65,98,56,28,54,65,98,PM25,SEDANG,DKI4
2021-12-23,70,99,57,19,44,44,99,PM25,SEDANG,DKI2
2021-12-24,36,65,53,15,36,52,65,PM25,SEDANG,DKI4
2021-12-25,56,85,56,23,35,62,85,PM25,SEDANG,DKI4
2021-12-26,44,71,51,15,37,34,71,PM25,SEDANG,DKI4
2021-12-27,75,121,61,23,40,47,121,PM25,TIDAK SEHAT,DKI4
2021-12-28,59,89,53,16,34,33,89,PM25,SEDANG,DKI4
2021-12-29,61,98,54,15,37,29,98,PM25,SEDANG,DKI4
2021-12-30,60,102,53,17,38,44,102,PM25,TIDAK SEHAT,DKI4
2021-12-31,64,90,52,44,37,53,90,PM25,SEDANG,DKI4
