tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-09-01,79,118,55,16,32,38,118,PM25,TIDAK SEHAT,DKI4
2021-09-02,66,115,52,15,39,28,115,PM25,TIDAK SEHAT,DKI4
2021-09-03,66,111,51,11,45,30,111,PM25,TIDAK SEHAT,DKI4
2021-09-04,62,93,50,10,37,28,93,PM25,SEDANG,DKI4
2021-09-05,74,120,52,12,36,28,120,PM25,TIDAK SEHAT,DKI4
2021-09-06,73,109,51,13,34,24,109,PM25,TIDAK SEHAT,DKI4
2021-09-07,60,86,51,11,27,24,86,PM25,SEDANG,DKI4
2021-09-08,64,106,52,16,29,34,106,PM25,TIDAK SEHAT,DKI4
2021-09-09,68,88,54,12,35,31,88,PM25,SEDANG,DKI2
2021-09-10,58,80,53,10,39,32,80,PM25,SEDANG,DKI4
2021-09-11,70,109,53,12,46,41,109,PM25,TIDAK SEHAT,DKI4
2021-09-12,66,111,51,10,36,27,111,PM25,TIDAK SEHAT,DKI4
2021-09-13,56,88,52,9,27,21,88,PM25,SEDANG,DKI4
2021-09-14,36,61,50,8,47,19,61,PM25,SEDANG,DKI4
2021-09-15,69,110,54,20,45,45,110,PM25,TIDAK SEHAT,DKI4
2021-09-16,53,89,52,10,52,24,89,PM25,SEDANG,DKI4
2021-09-17,50,85,51,7,53,20,85,PM25,SEDANG,DKI4
2021-09-18,57,101,53,9,51,22,101,PM25,TIDAK SEHAT,DKI4
2021-09-19,56,83,50,10,68,19,83,PM25,SEDANG,DKI5
2021-09-20,58,81,52,11,54,34,81,PM25,SEDANG,DKI2
2021-09-21,61,99,52,11,58,36,99,PM25,SEDANG,DKI4
2021-09-22,64,119,54,14,48,32,119,PM25,TIDAK SEHAT,DKI4
2021-09-23,61,116,53,10,53,22,116,PM25,TIDAK SEHAT,DKI4
2021-09-24,57,109,53,8,47,26,109,PM25,TIDAK SEHAT,DKI4
2021-09-25,55,102,52,11,50,20,102,PM25,TIDAK SEHAT,DKI4
2021-09-26,56,98,50,10,54,19,98,PM25,SEDANG,DKI4
2021-09-27,53,89,49,12,47,33,89,PM25,SEDANG,DKI4
2021-09-28,49,71,49,10,49,28,71,PM25,SEDANG,DKI2
2021-09-29,61,102,57,13,63,38,102,PM25,TIDAK SEHAT,DKI4
2021-09-30,71,117,63,16,63,37,117,PM25,TIDAK SEHAT,DKI4
